title,price_gbp,availability,price_inr_approx
The Coming Woman: A Novel,17.93,In stock,2008.16
The Boys in the Boat: Nine Americans and Their Epic Journey,22.6,In stock,2531.2
"Starving Hearts (Triangular Trade Trilogy, #1)",13.99,In stock,1566.88
America's Cradle of Quarterbacks: Western Pennsylvania's Football Factory from Johnny Unitas to Joe Montana,22.5,In stock,2520.0
Aladdin and His Wonderful Lamp,53.13,In stock,5950.56
Penny Maybe,33.29,In stock,3728.48
Maude (1883-1993):She Grew Up with the country,18.02,In stock,2018.24
"The Inefficiency Assassin: Time Management Tactics for Working Smarter, Not Longer",20.59,In stock,2306.08
Soul Reader,39.58,In stock,4432.96
Bossypants,49.46,In stock,5539.52
A World of Flavor: Your Guide to Regional Foods and Flavors,42.95,In stock,4810.4
"A Piece of Sky, a Grain of Rice: A Memoir in Four Meditations",56.76,In stock,6357.12
Tracing Numbers on Lost Keys,41.6,In stock,4659.2
Thirteen Reasons Why,52.0,In stock,5824.0
The Secret (The Secret #1),27.37,In stock,3065.44
The Psychopath Test: A Journey Through the Madness Industry,36.0,In stock,4032.0
The Kite Runner,41.82,In stock,4683.84
The Emerald Mystery,23.15,In stock,2592.8
The Bridge to Consciousness: I'm Writing This Book for the Curious,32.0,In stock,3584.0
The Death of Humanity: And the Case for Life,58.11,In stock,6508.32
